"Időbélyeg","1. Mennyire elfogadható számodra, ha egy családi beszélgetésben így beszélnek, azaz ezt a nyelvváltozatot hallod?","2. Az első hangfelvételen hallható nyelvváltozat olyan-e, mint ahogyan a tágabb környezetedben beszélnek?","3. Mennyire elfogadható számodra, ha egy családi beszélgetésben így beszélnek, azaz ezt a nyelvváltozatot hallod?","4. A második hangfelvételen hallható nyelvváltozat olyan-e, mint ahogyan a tágabb környezetedben beszélnek?","5. Mennyire elfogadható számodra, ha egy családi beszélgetésben így beszélnek, azaz ezt a nyelvváltozatot hallod?","6. A harmadik hangfelvételen hallható nyelvváltozat olyan-e, mint ahogyan a tágabb környezetedben beszélnek?","7. Mennyire elfogadható számodra, ha a televízióban hallod ezt nyelvváltozatot?","8. Mennyire elfogadható számodra, ha a televízióban hallod ezt nyelvváltozatot?","9. Mennyire elfogadható számodra, ha a televízióban hallod ezt nyelvváltozatot?","10. Hogyan értékelnéd saját régiód nyelvváltozatát – nyelvjárását?","11. Mely helyzetekben használod a saját nyelvváltozatodat – nyelvjárásodat? (Több választ is megjelölhetsz!)","12. Véleményed szerint te ismered a saját régiód nyelvjárását?","13. Szerinted előny vagy hátrány a nyelvjárás ismerete?","14. Mely helyzetekben használsz köznyelvi változatot? (Több választ is megjelölhetsz!)","15. Véleményed szerint beszéled a magyarországi magyar köznyelvet?","16. Szerinted van különbség a Magyarországon és a Szlovákiában használt magyar nyelv között?","17. Tett-e már valaki megjegyzést arra, ahogyan beszéltél?","18. Amennyiben tett már valaki megjegyzést a beszédedre, milyen helyzetben történt? Mit kifogásoltak? ","19. Mi a nemed?","20. Mi a nemzetiséged?","21. Mi az anyanyelved?","22. Melyik településen élsz?","23. Milyen típusú iskola diákja vagy?","24. Hányadik osztályba jársz?","25. Milyen nyelven zajlik az oktatás az általad látogatott képzésen?","26. Iskola","27. Iskola régiója","28. Lakhely régiója"
"2022/06/08 5:13:40 du. CET","teljesen elfogadható","igen","teljesen elfogadható","igen","teljesen elfogadható","igen","teljesen elfogadható","teljesen elfogadható","teljesen elfogadható","semleges","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;szlovákiai magyarokkal","szerintem elég jól","előny","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;iskolában az órákon;magyarországi magyarokkal;szlovákiai magyarokkal;levélben vagy fogalmazás írása közben;e-mailben, SMS-ben, chaten","szerintem elég jól","igen","igen","Anyum tett megjegyzést, mert szerinte csúnyán beszéltem.","fiú","magyar","magyar","Érsekújvár","szakközépiskola","2.","magyar és szlovák nyelven is","Spojená škola, Komárňanská 28, Nové Zámky","Nyugat-Szlovákia","Nyugat-Szlovákia"
"2022/06/08 5:16:05 du. CET","teljesen elfogadható","hasonlít","teljesen elfogadható","hasonlít","teljesen elfogadható","igen","teljesen elfogadható","teljesen elfogadható","teljesen elfogadható","inkább tetszik","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;szlovákiai magyarokkal","talán egy kicsit","előny","iskolában az órákon;magyarországi magyarokkal;levélben vagy fogalmazás írása közben;e-mailben, SMS-ben, chaten","szerintem elég jól","igen","igen","Ha a saját nyelváltazatam a megszakattnál is erősebben használtam.","fiú","magyar és szlovák","magyar","Deáki","szakközépiskola","2.","magyar és szlovák nyelven is","Spojená škola, Komárňanská 28, Nové Zámky","Nyugat-Szlovákia","Nyugat-Szlovákia"
"2022/06/08 5:17:24 du. CET","teljesen elfogadható","nem","teljesen elfogadható","nem","teljesen elfogadható","hasonlít","teljesen elfogadható","inkább elfogadható","inkább elfogadható","szeretem ezt használni","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben","szerintem elég jól","előny","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;iskolában az órákon","szerintem elég jól","nem tudom","nem","","lány","magyar és szlovák","magyar","Nagymegyer","szakközépiskola","2.","magyar nyelven","Spojená škola, Komárňanská 28, Nové Zámky","Nyugat-Szlovákia","Nyugat-Szlovákia"
"2022/06/08 5:19:16 du. CET","teljesen elfogadható","nem","teljesen elfogadható","nem","teljesen elfogadható","hasonlít","teljesen elfogadható","nem tudom megítélni","teljesen elfogadható","szeretem ezt használni","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;szlovákiai magyarokkal","talán egy kicsit","előny","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;iskolában az órákon;magyarországi magyarokkal;szlovákiai magyarokkal;e-mailben, SMS-ben, chaten","inkább nem","igen","nem","","lány","magyar és szlovák","magyar","Vízkelet","szakközépiskola","2.","magyar nyelven","Spojená škola, Komárňanská 28, Nové Zámky","Nyugat-Szlovákia","Nyugat-Szlovákia"
"2022/06/08 5:21:03 du. CET","teljesen elfogadható","hasonlít","teljesen elfogadható","hasonlít","teljesen elfogadható","hasonlít","teljesen elfogadható","inkább elfogadható","teljesen elfogadható","semleges","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;iskolában az órákon;szlovákiai magyarokkal","talán egy kicsit","előny","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;iskolában az órákon;magyarországi magyarokkal;szlovákiai magyarokkal","inkább nem","igen","igen","Egy vicces helyzetben, mikor hirtelen mondtam egy szót melyet az otthoni nyelvjárásból vettem át.","fiú","magyar","magyar","Zselíz","szakközépiskola","3.","magyar nyelven","Spojená škola, Komárňanská 28, Nové Zámky","Nyugat-Szlovákia","Nyugat-Szlovákia"
"2022/06/08 5:22:43 du. CET","teljesen elfogadható","hasonlít","teljesen elfogadható","igen","teljesen elfogadható","hasonlít","teljesen elfogadható","inkább elfogadható","inkább elfogadható","szeretem ezt használni","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;szlovákiai magyarokkal;e-mailben, SMS-ben, chaten","szerintem elég jól","előny","iskolában az órákon;magyarországi magyarokkal;levélben vagy fogalmazás írása közben","szerintem elég jól","igen","igen","Azt kifogásolták, hogy nem eléggé köznyelvi a beszédem.","lány","magyar","magyar","Nagykér","szakközépiskola","3.","magyar és szlovák nyelven is","Spojená škola, Komárňanská 28, Nové Zámky","Nyugat-Szlovákia","Nyugat-Szlovákia"
"2022/06/08 5:24:42 du. CET","teljesen elfogadható","hasonlít","teljesen elfogadható","igen","teljesen elfogadható","igen","teljesen elfogadható","teljesen elfogadható","teljesen elfogadható","szeretem ezt használni","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;iskolában az órákon;szlovákiai magyarokkal","igen","nem tudom","magyarországi magyarokkal;levélben vagy fogalmazás írása közben;e-mailben, SMS-ben, chaten","szerintem elég jól","igen","nem","","lány","magyar","magyar","Málas","szakközépiskola","3.","magyar és szlovák nyelven is","Spojená škola, Komárňanská 28, Nové Zámky","Nyugat-Szlovákia","Nyugat-Szlovákia"
"2022/06/08 5:26:02 du. CET","teljesen elfogadható","nem","teljesen elfogadható","igen","teljesen elfogadható","igen","teljesen elfogadható","teljesen elfogadható","teljesen elfogadható","szeretem ezt használni","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;iskolában az órákon;e-mailben, SMS-ben, chaten","szerintem elég jól","előny","magyarországi magyarokkal;levélben vagy fogalmazás írása közben","szerintem elég jól","igen","nem","","fiú","magyar","magyar","Búcs","szakközépiskola","2.","magyar és szlovák nyelven is","Spojená škola, Komárňanská 28, Nové Zámky","Nyugat-Szlovákia","Nyugat-Szlovákia"
"2022/06/08 5:27:26 du. CET","teljesen elfogadható","nem","teljesen elfogadható","hasonlít","teljesen elfogadható","igen","teljesen elfogadható","teljesen elfogadható","teljesen elfogadható","semleges","családi beszélgetésben;baráti beszélgetésben","szerintem elég jól","előny","családi beszélgetésben;iskolában az órákon;levélben vagy fogalmazás írása közben","szerintem elég jól","igen","nem","","fiú","magyar","magyar","Komáromszentpéter","szakközépiskola","2.","magyar és szlovák nyelven is","Spojená škola, Komárňanská 28, Nové Zámky","Nyugat-Szlovákia","Nyugat-Szlovákia"
"2022/06/08 5:28:52 du. CET","inkább elfogadható","nem","teljesen elfogadható","hasonlít","teljesen elfogadható","igen","teljesen elfogadható","inkább elfogadható","inkább elfogadható","semleges","családi beszélgetésben;szlovákiai magyarokkal","talán egy kicsit","előny","magyarországi magyarokkal;levélben vagy fogalmazás írása közben;e-mailben, SMS-ben, chaten","igen","igen","nem","","fiú","szlovák","magyar","Ógyalla","szakközépiskola","2.","magyar és szlovák nyelven is","Spojená škola, Komárňanská 28, Nové Zámky","Nyugat-Szlovákia","Nyugat-Szlovákia"
"2022/06/08 5:30:11 du. CET","inkább elfogadható","nem","inkább elfogadható","nem","teljesen elfogadható","hasonlít","nem tudom megítélni","inkább elfogadható","inkább nem elfogadható","inkább tetszik","baráti beszélgetésben;iskolában a szünetben;szlovákiai magyarokkal","igen","előny","iskolában az órákon;magyarországi magyarokkal;levélben vagy fogalmazás írása közben","szerintem elég jól","igen","igen","","fiú","szlovák","magyar","Dunaszerdahely","szakközépiskola","2.","magyar és szlovák nyelven is","Spojená škola, Komárňanská 28, Nové Zámky","Nyugat-Szlovákia","Nyugat-Szlovákia"
"2022/06/08 5:31:58 du. CET","teljesen elfogadható","nem","inkább elfogadható","nem","teljesen elfogadható","hasonlít","nem tudom megítélni","inkább elfogadható","inkább nem elfogadható","inkább tetszik","baráti beszélgetésben;iskolában a szünetben;magyarországi magyarokkal;szlovákiai magyarokkal","szerintem elég jól","előny","családi beszélgetésben;iskolában az órákon;levélben vagy fogalmazás írása közben;e-mailben, SMS-ben, chaten","talán egy kicsit","igen","igen","","fiú","szlovák","magyar","Dunaszerdahely","szakközépiskola","2.","magyar és szlovák nyelven is","Spojená škola, Komárňanská 28, Nové Zámky","Nyugat-Szlovákia","Nyugat-Szlovákia"
"2022/06/08 5:34:04 du. CET","inkább elfogadható","nem","teljesen elfogadható","hasonlít","teljesen elfogadható","igen","teljesen elfogadható","teljesen elfogadható","teljesen elfogadható","szeretem ezt használni","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;iskolában az órákon;szlovákiai magyarokkal;e-mailben, SMS-ben, chaten","igen","előny","iskolában az órákon;magyarországi magyarokkal;levélben vagy fogalmazás írása közben","igen","igen","igen","Mikor Magyarországon voltam és beszélgettünk, akkor mpndták, hogy kicsit á-betűsen beszélek.","fiú","szlovák","magyar","Dunaszerdahely","szakközépiskola","2.","magyar és szlovák nyelven is","Spojená škola, Komárňanská 28, Nové Zámky","Nyugat-Szlovákia","Nyugat-Szlovákia"
"2022/06/08 5:35:53 du. CET","inkább nem elfogadható","nem","teljesen elfogadható","hasonlít","teljesen elfogadható","igen","teljesen elfogadható","inkább elfogadható","nem tudom megítélni","szeretem ezt használni","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;iskolában az órákon;szlovákiai magyarokkal;e-mailben, SMS-ben, chaten","szerintem elég jól","előny","magyarországi magyarokkal;levélben vagy fogalmazás írása közben;e-mailben, SMS-ben, chaten","igen","igen","igen","Tájszólást","fiú","magyar és szlovák","magyar","Tardoskedd","szakközépiskola","2.","magyar és szlovák nyelven is","Spojená škola, Komárňanská 28, Nové Zámky","Nyugat-Szlovákia","Nyugat-Szlovákia"
"2022/06/08 5:38:12 du. CET","inkább elfogadható","nem","inkább elfogadható","hasonlít","nem tudom megítélni","hasonlít","teljesen elfogadható","nem tudom megítélni","nem tudom megítélni","inkább tetszik","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;iskolában az órákon;szlovákiai magyarokkal","szerintem elég jól","előny","magyarországi magyarokkal;levélben vagy fogalmazás írása közben;e-mailben, SMS-ben, chaten","talán egy kicsit","igen","igen","Nem volt pontos a kiejtésem, érezni lehetett rajta a felvidéki nyelvjárást. Vagy ha egy dologra más szót használtam, mint amit a magyarországi magyarok szoktak.","fiú","magyar és szlovák","magyar","Ógyalla","szakközépiskola","2.","magyar és szlovák nyelven is","Spojená škola, Komárňanská 28, Nové Zámky","Nyugat-Szlovákia","Nyugat-Szlovákia"
"2022/06/08 5:40:17 du. CET","teljesen elfogadható","nem","teljesen elfogadható","hasonlít","teljesen elfogadható","igen","inkább elfogadható","teljesen elfogadható","teljesen elfogadható","szeretem ezt használni","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;iskolában az órákon;magyarországi magyarokkal;szlovákiai magyarokkal","igen","előny","levélben vagy fogalmazás írása közben;e-mailben, SMS-ben, chaten","szerintem elég jól","igen","igen","A barátommal beszéltem magyarul és egy idegen szlovák férfi megszólta, hogy miért magyarul beszélünk.","fiú","magyar","magyar","Párkány","szakközépiskola","2.","magyar nyelven","Spojená škola, Komárňanská 28, Nové Zámky","Nyugat-Szlovákia","Nyugat-Szlovákia"
"2022/06/08 5:41:53 du. CET","teljesen elfogadható","igen","teljesen elfogadható","igen","teljesen elfogadható","igen","teljesen elfogadható","teljesen elfogadható","inkább elfogadható","szeretem ezt használni","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;iskolában az órákon;magyarországi magyarokkal;szlovákiai magyarokkal","igen","előny","levélben vagy fogalmazás írása közben;e-mailben, SMS-ben, chaten","talán egy kicsit","igen","igen","Nem értették a használt szavat, szókapcsolatot","lány","magyar","magyar","Deáki","szakközépiskola","2.","magyar nyelven","Spojená škola, Komárňanská 28, Nové Zámky","Nyugat-Szlovákia","Nyugat-Szlovákia"
"2022/06/09 2:44:54 du. CET","teljesen elfogadható","hasonlít","inkább elfogadható","hasonlít","inkább elfogadható","hasonlít","nem tudom megítélni","inkább nem elfogadható","inkább nem elfogadható","inkább nem tetszik","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;iskolában az órákon;szlovákiai magyarokkal","szerintem elég jól","hátrány","magyarországi magyarokkal;e-mailben, SMS-ben, chaten","szerintem elég jól","igen","igen","A családom szlovák tagjai, ismerősök. Észrevették az akcentusomat amikor szlovákul beszéltem. Amikor pedig magyarul beszéltem nehezményezték a szlovák emberek, buszon stb.","lány","magyar és szlovák","szlovák","Úszor","gimnázium","1.","magyar nyelven","Základná škola a Gymnázium s vyučovacím jazykom maďarským, Dunajská 13, Bratislava","Nyugat-Szlovákia","Nyugat-Szlovákia"
"2022/06/09 2:59:51 du. CET","teljesen elfogadható","hasonlít","teljesen elfogadható","igen","teljesen elfogadható","igen","teljesen elfogadható","teljesen elfogadható","teljesen elfogadható","szeretem ezt használni","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;iskolában az órákon;magyarországi magyarokkal;szlovákiai magyarokkal","igen","előny","levélben vagy fogalmazás írása közben;e-mailben, SMS-ben, chaten","szerintem elég jól","igen","igen","Általában pozitív megjegyzést, mivel én elég sok szóban használtam az ""ö"" betűt, nem emlékszem olyan esetre, hogy valakinek lett volna gondja azzal, hogy a ""Jössz enni?"" helyett azt mondtam ""Gyűsz önni?"" :)","lány","magyar és szlovák","magyar","Fél","gimnázium","1.","magyar és szlovák nyelven is","Základná škola a Gymnázium s vyučovacím jazykom maďarským, Dunajská 13, Bratislava","Nyugat-Szlovákia","Nyugat-Szlovákia"
"2022/06/09 3:01:19 du. CET","teljesen elfogadható","hasonlít","teljesen elfogadható","hasonlít","teljesen elfogadható","igen","teljesen elfogadható","inkább elfogadható","inkább elfogadható","szeretem ezt használni","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;szlovákiai magyarokkal;e-mailben, SMS-ben, chaten","szerintem elég jól","előny","iskolában az órákon;magyarországi magyarokkal;levélben vagy fogalmazás írása közben","szerintem elég jól","igen","nem","","fiú","magyar","magyar","Egyházgelle","gimnázium","1.","magyar nyelven","Základná škola a Gymnázium s vyučovacím jazykom maďarským, Dunajská 13, Bratislava","Nyugat-Szlovákia","Nyugat-Szlovákia"
"2022/06/09 3:04:17 du. CET","teljesen elfogadható","igen","teljesen elfogadható","hasonlít","teljesen elfogadható","igen","inkább elfogadható","inkább elfogadható","inkább elfogadható","szeretem ezt használni","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;szlovákiai magyarokkal;e-mailben, SMS-ben, chaten","igen","előny","magyarországi magyarokkal;levélben vagy fogalmazás írása közben","talán egy kicsit","igen","nem","","fiú","magyar","magyar","Vők","gimnázium","1.","magyar nyelven","Základná škola a Gymnázium s vyučovacím jazykom maďarským, Dunajská 13, Bratislava","Nyugat-Szlovákia","Nyugat-Szlovákia"
"2022/06/09 3:06:35 du. CET","inkább elfogadható","nem","inkább elfogadható","nem tudom","inkább elfogadható","hasonlít","teljesen elfogadható","inkább nem elfogadható","inkább elfogadható","inkább tetszik","családi beszélgetésben;baráti beszélgetésben","szerintem elég jól","előny","iskolában az órákon;magyarországi magyarokkal;levélben vagy fogalmazás írása közben;e-mailben, SMS-ben, chaten","talán egy kicsit","igen","igen","Néha mi nálunk máshogy mondják a dolgok nevét, így példát nem tudok mondani. A helyzetre sem emlékszem, talán amikor új embereket ismertem meg.","lány","magyar és szlovák","magyar","Deáki","gimnázium","1.","magyar nyelven","Základná škola a Gymnázium s vyučovacím jazykom maďarským, Dunajská 13, Bratislava","Nyugat-Szlovákia","Nyugat-Szlovákia"
"2022/06/09 3:09:00 du. CET","nem tudom megítélni","nem","inkább elfogadható","hasonlít","inkább elfogadható","igen","egyáltalán nem elfogadható","nem tudom megítélni","inkább elfogadható","inkább nem tetszik","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;szlovákiai magyarokkal","szerintem elég jól","előny","iskolában az órákon;magyarországi magyarokkal;levélben vagy fogalmazás írása közben;e-mailben, SMS-ben, chaten","talán egy kicsit","igen","nem","Szerintem nem illendő kritizálni más nyelvjárását, hiszen szerintem minden nyelvjárás szép a sajátosságaival együtt.","lány","magyar","magyar","Dunaszerdahely","gimnázium","1.","magyar nyelven","Základná škola a Gymnázium s vyučovacím jazykom maďarským, Dunajská 13, Bratislava","Nyugat-Szlovákia","Nyugat-Szlovákia"
"2022/06/09 3:11:02 du. CET","inkább elfogadható","hasonlít","inkább elfogadható","hasonlít","inkább elfogadható","igen","teljesen elfogadható","nem tudom megítélni","inkább nem elfogadható","inkább nem tetszik","semmilyen helyzetben","talán egy kicsit","előny","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;iskolában az órákon;magyarországi magyarokkal;szlovákiai magyarokkal;levélben vagy fogalmazás írása közben;e-mailben, SMS-ben, chaten","szerintem elég jól","igen","nem","","lány","magyar és szlovák","magyar","Lúcs","gimnázium","1.","magyar nyelven","Základná škola a Gymnázium s vyučovacím jazykom maďarským, Dunajská 13, Bratislava","Nyugat-Szlovákia","Nyugat-Szlovákia"
"2022/06/09 3:12:37 du. CET","teljesen elfogadható","hasonlít","teljesen elfogadható","hasonlít","teljesen elfogadható","hasonlít","teljesen elfogadható","teljesen elfogadható","teljesen elfogadható","szeretem ezt használni","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;iskolában az órákon;magyarországi magyarokkal;szlovákiai magyarokkal;e-mailben, SMS-ben, chaten","talán egy kicsit","előny","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;iskolában az órákon;magyarországi magyarokkal;szlovákiai magyarokkal;e-mailben, SMS-ben, chaten","talán egy kicsit","igen","nem","","lány","magyar","magyar","Nyékvárkony","gimnázium","1.","magyar nyelven","Základná škola a Gymnázium s vyučovacím jazykom maďarským, Dunajská 13, Bratislava","Nyugat-Szlovákia","Nyugat-Szlovákia"
"2022/06/09 3:14:34 du. CET","teljesen elfogadható","nem","teljesen elfogadható","hasonlít","teljesen elfogadható","hasonlít","inkább elfogadható","teljesen elfogadható","teljesen elfogadható","szeretem ezt használni","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;iskolában az órákon;magyarországi magyarokkal;szlovákiai magyarokkal;levélben vagy fogalmazás írása közben;e-mailben, SMS-ben, chaten","szerintem elég jól","előny","iskolában az órákon;magyarországi magyarokkal","szerintem elég jól","igen","igen","Egy magyaroroszági barátom kijavította a szlovákiai magyaromat magyarországira.","lány","magyar és szlovák","magyar","Pozsony","gimnázium","1.","magyar nyelven","Základná škola a Gymnázium s vyučovacím jazykom maďarským, Dunajská 13, Bratislava","Nyugat-Szlovákia","Nyugat-Szlovákia"
"2022/06/09 3:16:07 du. CET","inkább elfogadható","nem","inkább elfogadható","hasonlít","teljesen elfogadható","igen","teljesen elfogadható","inkább elfogadható","inkább elfogadható","szeretem ezt használni","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;szlovákiai magyarokkal","szerintem elég jól","előny","iskolában az órákon;magyarországi magyarokkal;levélben vagy fogalmazás írása közben;e-mailben, SMS-ben, chaten","szerintem elég jól","igen","nem","","fiú","magyar","magyar","Nádszeg","gimnázium","1.","magyar nyelven","Základná škola a Gymnázium s vyučovacím jazykom maďarským, Dunajská 13, Bratislava","Nyugat-Szlovákia","Nyugat-Szlovákia"
"2022/06/09 3:18:48 du. CET","inkább elfogadható","nem","inkább elfogadható","igen","teljesen elfogadható","igen","teljesen elfogadható","teljesen elfogadható","inkább elfogadható","szeretem ezt használni","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;szlovákiai magyarokkal","szerintem elég jól","előny","iskolában az órákon;magyarországi magyarokkal;levélben vagy fogalmazás írása közben;e-mailben, SMS-ben, chaten","talán egy kicsit","igen","igen","Nyári táborba történt Győrbe, megtérni szót használtam a megfordulni helyett, elmondták hogy ez nem helyes de nem kötöttek bele csak kijavították","fiú","magyar","magyar","Nádszeg","gimnázium","1.","magyar nyelven","Základná škola a Gymnázium s vyučovacím jazykom maďarským, Dunajská 13, Bratislava","Nyugat-Szlovákia","Nyugat-Szlovákia"
"2022/06/09 3:20:20 du. CET","inkább elfogadható","nem","inkább elfogadható","nem","inkább elfogadható","nem","nem tudom megítélni","inkább nem elfogadható","inkább nem elfogadható","inkább tetszik","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;iskolában az órákon;magyarországi magyarokkal;szlovákiai magyarokkal;levélben vagy fogalmazás írása közben","igen","előny","iskolában az órákon;levélben vagy fogalmazás írása közben;e-mailben, SMS-ben, chaten","talán egy kicsit","igen","igen","A kiejtésemre","fiú","magyar és szlovák","magyar","Pozsony","gimnázium","1.","magyar nyelven","Základná škola a Gymnázium s vyučovacím jazykom maďarským, Dunajská 13, Bratislava","Nyugat-Szlovákia","Nyugat-Szlovákia"
"2022/06/09 3:22:27 du. CET","inkább elfogadható","nem","inkább elfogadható","nem","inkább elfogadható","nem","teljesen elfogadható","inkább nem elfogadható","teljesen elfogadható","inkább nem tetszik","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;szlovákiai magyarokkal","igen","előny","iskolában az órákon;magyarországi magyarokkal;levélben vagy fogalmazás írása közben;e-mailben, SMS-ben, chaten","szerintem elég jól","igen","nem","","fiú","magyar és szlovák","magyar és szlovák","Pozsony","gimnázium","1.","magyar nyelven","Základná škola a Gymnázium s vyučovacím jazykom maďarským, Dunajská 13, Bratislava","Nyugat-Szlovákia","Nyugat-Szlovákia"
"2022/06/09 3:24:27 du. CET","teljesen elfogadható","nem","teljesen elfogadható","hasonlít","teljesen elfogadható","igen","teljesen elfogadható","teljesen elfogadható","teljesen elfogadható","szeretem ezt használni","családi beszélgetésben;baráti beszélgetésben;szlovákiai magyarokkal;e-mailben, SMS-ben, chaten","szerintem elég jól","előny","iskolában a szünetben;iskolában az órákon;levélben vagy fogalmazás írása közben","szerintem elég jól","igen","nem","","lány","magyar és szlovák","magyar","Kismagyar","gimnázium","1.","magyar és szlovák nyelven is","Základná škola a Gymnázium s vyučovacím jazykom maďarským, Dunajská 13, Bratislava","Nyugat-Szlovákia","Nyugat-Szlovákia"
"2022/06/09 3:26:11 du. CET","teljesen elfogadható","hasonlít","teljesen elfogadható","nem","teljesen elfogadható","igen","teljesen elfogadható","inkább elfogadható","teljesen elfogadható","inkább tetszik","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;szlovákiai magyarokkal","igen","előny","baráti beszélgetésben;iskolában az órákon;magyarországi magyarokkal;levélben vagy fogalmazás írása közben;e-mailben, SMS-ben, chaten","igen","igen","nem","","lány","magyar","magyar","Kulcsod","gimnázium","1.","magyar nyelven","Základná škola a Gymnázium s vyučovacím jazykom maďarským, Dunajská 13, Bratislava","Nyugat-Szlovákia","Nyugat-Szlovákia"
"2022/06/09 3:28:11 du. CET","teljesen elfogadható","hasonlít","teljesen elfogadható","nem tudom","teljesen elfogadható","igen","teljesen elfogadható","teljesen elfogadható","teljesen elfogadható","szeretem ezt használni","családi beszélgetésben;baráti beszélgetésben;szlovákiai magyarokkal;e-mailben, SMS-ben, chaten","igen","nem tudom","iskolában az órákon;magyarországi magyarokkal;levélben vagy fogalmazás írása közben","szerintem elég jól","igen","igen","Magyaroroszági rokonaim szerint nem beszéltem elég tisztán és szerintük ""elszlovákosodtam"".","lány","magyar","magyar","Nyékvárkony","gimnázium","1.","magyar nyelven","Základná škola a Gymnázium s vyučovacím jazykom maďarským, Dunajská 13, Bratislava","Nyugat-Szlovákia","Nyugat-Szlovákia"
"2022/06/09 3:30:44 du. CET","teljesen elfogadható","hasonlít","teljesen elfogadható","igen","teljesen elfogadható","igen","teljesen elfogadható","inkább elfogadható","teljesen elfogadható","inkább tetszik","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;szlovákiai magyarokkal","szerintem elég jól","előny","iskolában az órákon;magyarországi magyarokkal;levélben vagy fogalmazás írása közben;e-mailben, SMS-ben, chaten","talán egy kicsit","igen","igen","Órán a tanár szólta meg, azt mondta, nem illik iskolai környezetbe.","fiú","szlovák","magyar","Nagyfödémes","gimnázium","1.","magyar nyelven","Základná škola a Gymnázium s vyučovacím jazykom maďarským, Dunajská 13, Bratislava","Nyugat-Szlovákia","Nyugat-Szlovákia"
"2022/06/09 3:33:27 du. CET","teljesen elfogadható","hasonlít","inkább elfogadható","igen","teljesen elfogadható","igen","teljesen elfogadható","inkább elfogadható","teljesen elfogadható","szeretem ezt használni","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;iskolában az órákon;magyarországi magyarokkal;szlovákiai magyarokkal","szerintem elég jól","előny","levélben vagy fogalmazás írása közben;e-mailben, SMS-ben, chaten","talán egy kicsit","igen","igen","Addig amíg nem tettek rá megjegyzést nem is tudtam, hogy tájszólással beszélek.","lány","magyar","magyar","Nagyfödémes","gimnázium","1.","magyar nyelven","Základná škola a Gymnázium s vyučovacím jazykom maďarským, Dunajská 13, Bratislava","Nyugat-Szlovákia","Nyugat-Szlovákia"
"2022/06/09 3:36:00 du. CET","teljesen elfogadható","nem","teljesen elfogadható","hasonlít","teljesen elfogadható","igen","teljesen elfogadható","inkább elfogadható","teljesen elfogadható","inkább tetszik","e-mailben, SMS-ben, chaten","szerintem elég jól","előny","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;iskolában az órákon;magyarországi magyarokkal;szlovákiai magyarokkal;levélben vagy fogalmazás írása közben;e-mailben, SMS-ben, chaten","talán egy kicsit","igen","igen","Néhányan (szlovákiai magyarok) már megkérdezték tőlem, magyarországi vagyok-e. Bár ismerem a szenci nyelvjárást, nem az anyanyelvem. Azt is megkaptam már, hogy ""budapestiesen"" beszélek, ami szerintem egyáltalán nem igaz.","lány","magyar","magyar","Boldogfa","gimnázium","3.","magyar nyelven","Základná škola a Gymnázium s vyučovacím jazykom maďarským, Dunajská 13, Bratislava","Nyugat-Szlovákia","Nyugat-Szlovákia"
